,Name,Category,Latitude,Longitude,address,Province,City,District / County
0,如一坊豆捞,Chinese Restaurant,31.858998,117.303735,铜陵南路,Anhui,Hefei,Yaohai
1,咱姥家大锅台(包河万达公馆店),Anhui Restaurant,31.859937,117.303464,,Anhui,Hefei,Yaohai
2,浏家二叔 LiuYang Steamed Dishes,Hunan Restaurant,31.858226,117.303422,,Anhui,Hefei,Yaohai
3,scirocco all day dining,Buffet,31.862698,117.303426,,Anhui,Hefei,Yaohai
4,Ajisen Ramen (味千拉面),Ramen Restaurant,31.85980829,117.2974849,马鞍山路130号万达广场1-05号,Anhui,Hefei,Yaohai
5,Mango Thai,Thai Restaurant,31.85972668,117.2974475,,Anhui,Hefei,Yaohai
6,McDonald's (麦当劳),Fast Food Restaurant,31.85960403,117.2974417,包河区万达广场一楼,Anhui,Hefei,Yaohai
7,汉拿山韩式烤肉,Korean Restaurant,31.85894084,117.2972466,马鞍山路万达广场三楼,Anhui,Hefei,Yaohai
8,同庆楼,Chinese Restaurant,31.85871479,117.2963691,马鞍山路130号万达广场5楼,Anhui,Hefei,Yaohai
9,彩蝶轩 Caidie Bakery,Bakery,31.86766052,117.2907181,逍遥津站,Anhui,Hefei,Yaohai
10,Pizza Hut (必胜客),Pizza Place,31.866497,117.289024,淮河路77号逍遥广场北楼1楼,Anhui,Hefei,Yaohai
11,海底捞火锅,Hotpot Restaurant,31.864816,117.286509,银泰中心八楼,Anhui,Hefei,Yaohai
12,Pizza Hut (必胜客),Pizza Place,31.87710448,117.3022059,瑶海区胜利路88号元一广场北楼一层,Anhui,Hefei,Yaohai
13,Bitburger (碧特博格啤酒屋),German Restaurant,31.85177231,117.2712097,芜湖路258-6号,Anhui,Hefei,Yaohai
14,McDonald's (麦当劳),Fast Food Restaurant,31.86525738,117.2821426,徽州大道618号乐普生商厦2层,Anhui,Hefei,Yaohai
15,Burger King (汉堡王),Fast Food Restaurant,31.881619,117.315044,信地广场二期信地步行街D栋D1-1、D2-1号,Anhui,Hefei,Yaohai
16,McDonald's (麦当劳),Fast Food Restaurant,31.86387496,117.2753645,长江中路293号,Anhui,Hefei,Yaohai
17,McDonald's (麦当劳),Fast Food Restaurant,31.88552005,117.3085356,站前路九龙珠儿童城1层,Anhui,Hefei,Yaohai
18,McDonald's (麦当劳),Fast Food Restaurant,31.88703047,117.3096948,火车站出站口西侧铁道大酒店1层,Anhui,Hefei,Yaohai
19,Burger King (汉堡王),Fast Food Restaurant,31.85716849,117.2520098,长江西路189号之心城负一楼,Anhui,Hefei,Yaohai
20,McDonald's (麦当劳),Fast Food Restaurant,31.84676331,117.2656741,金寨路136号曙光商厦一楼,Anhui,Hefei,Yaohai
21,老张烧烤,BBQ Joint,31.86185139,117.2588274,农大东门,Anhui,Hefei,Yaohai
