,Name,Category,Latitude,Longitude,address,Province,City,District / County
0,Hefei South Railway Station (合肥南站),Train Station,31.800676930863734,117.28450334720159,包河区京台高速北侧,Anhui,Hefei,Yaohai
1,Hefei South Railway Station (合肥南站),Train Station,31.800676930863734,117.28450334720159,包河区京台高速北侧,Anhui,Hefei,Baohe
2,Hefei South Railway Station (合肥南站),Train Station,31.800676930863734,117.28450334720159,包河区京台高速北侧,Anhui,Hefei,Luyang
3,Hefei South Railway Station (合肥南站),Train Station,31.800676930863734,117.28450334720159,包河区京台高速北侧,Anhui,Hefei,Shushan
4,Dongsi Subway Station (地铁东四站),Metro Station,39.922931158416326,116.41165852546692,Chaoyangmen Inner St,Beijing,Beijing,Dongcheng
5,National Art Museum of China (中国美术馆),Art Museum,39.923377884619505,116.40265458286883,1 Wusi Ave,Beijing,Beijing,Dongcheng
6,Temple Restaurant Beijing,French Restaurant,39.9265275764491,116.39720388581632,23 Shatan N St,Beijing,Beijing,Dongcheng
7,Siji Minfu Roast Duck (四季民福 Siji Minfu Roast Duck),Chinese Restaurant,39.916945001926365,116.4025068283081,32 Dengshikou W St,Beijing,Beijing,Dongcheng
8,东堂 St. Joseph's Cathedral (East Church),Church,39.915965042661135,116.4051497190644,74 Wangfujing Ave.,Beijing,Beijing,Dongcheng
9,The Peninsula Beijing (王府半岛酒店),Hotel,39.91416688489904,116.41019181892923,"8 Goldfish Lane, Wangfujing",Beijing,Beijing,Dongcheng
10,Waldorf Astoria Beijing,Hotel,39.9145339347225,116.40772104263306,5-15 Jinyu Hutong,Beijing,Beijing,Dongcheng
11,Dadong Roast Duck Restaurant (大董烤鸭店),Peking Duck Restaurant,39.931008497717926,116.42567668287623,22A Dongsishitiao,Beijing,Beijing,Dongcheng
12,Crowne Plaza Beijing Wangfujing,Hotel,39.91756818735054,116.40522200105953,48 Wangfujing Ave,Beijing,Beijing,Dongcheng
13,Hua's Restaurant (花家怡园),Chinese Restaurant,39.94002052854349,116.41278479962595,235 Dongzhimen Inner St,Beijing,Beijing,Dongcheng
14,Apple Wangfujing (Apple 王府井),Electronics Store,39.91394967016644,116.4052963256836,138 Wangfujing St | 王府井大街138号,Beijing,Beijing,Dongcheng
15,Regent Beijing (北京丽晶酒店),Hotel,39.914873193875884,116.41298288045519,99 Jinbao St,Beijing,Beijing,Dongcheng
16,Dadong Roast Duck Restaurant (大董烤鸭店),Peking Duck Restaurant,39.91409044595065,116.4150309179308,88 Jinbao St,Beijing,Beijing,Dongcheng
17,Hilton Beijing Wangfujing (北京王府井希尔顿酒店),Hotel,39.91282930105268,116.4072672612987,8 Wangfujing E St,Beijing,Beijing,Dongcheng
18,Zarah Café,Café,39.93938938524772,116.39995713841657,46 Gulou Dongdajie 鼓楼东大街46号,Beijing,Beijing,Dongcheng
19,Jingshan Park (景山公园),Park,39.92353591625474,116.39057636260986,44 Jingshan W St,Beijing,Beijing,Dongcheng
20,Novotel Beijing Peace (北京诺富特和平宾馆),Hotel,39.91417851891671,116.40920819409575,"3 Jinyu Hutong, Wangfujing",Beijing,Beijing,Dongcheng
21,Wanchun Pavilion (万春亭),Historic Site,39.923488838611725,116.39042011936871,44 Jingshan W St,Beijing,Beijing,Dongcheng
22,Starbucks (星巴克),Coffee Shop,39.922562694945,116.42656254969349,#2 Chaoyangmen Inner Street,Beijing,Beijing,Dongcheng
23,Prime Hotel 华侨大厦,Hotel,39.922164763534724,116.40471305747629,2 Wangfujing Ave.,Beijing,Beijing,Dongcheng
24,Great Leap Brewing (Great Leap Brewing 大跃啤酒),Brewery,39.93593690654814,116.39308082174908,6 Doujiao Hutong,Beijing,Beijing,Dongcheng
25,北京丽亭酒店 Park Plaza Beijing Wangfujing,Hotel,39.91672,116.41949,"97 Jinbao Street, Dongcheng District",Beijing,Beijing,Dongcheng
26,Gate of Divine Might (神武门 Gate of Divine Might),Historic Site,39.921316157985224,116.39056771749101,4 Jingshan Front St,Beijing,Beijing,Dongcheng
27,Nanluogu Alley (南锣鼓巷),Pedestrian Plaza,39.934778897719355,116.39689653926962,Near Drum Tower,Beijing,Beijing,Dongcheng
28,Imperial Garden (御花园),Garden,39.92006113053615,116.39067176308858,4 Jingshan Front St,Beijing,Beijing,Dongcheng
29,Palace of Heavenly Purity (乾清宫),Historic Site,39.91849073015163,116.39063683482365,4 Jingshan Front St,Beijing,Beijing,Dongcheng
30,Forbidden City (Palace Museum) (故宫（博物院）),History Museum,39.91770204306014,116.39066219329834,4 Jingshan Front St,Beijing,Beijing,Dongcheng
31,Palace of Earthly Tranquility (坤宁宫),Historic Site,39.91911130032792,116.39065962816352,4 Jingshan Front St,Beijing,Beijing,Dongcheng
32,Huda Restaurant (胡大饭馆),Chinese Restaurant,39.93971757333283,116.41305412702347,233 Dongzhimen Inner Ave,Beijing,Beijing,Dongcheng
33,Beijing apm (新东安市场),Shopping Mall,39.91273969247117,116.40559137844845,138 Wangfujing Ave,Beijing,Beijing,Dongcheng
34,Hall of Preserving Harmony (保和殿),Historic Site,39.91679870678914,116.39080883242923,4 Jingshan Front St,Beijing,Beijing,Dongcheng
35,Hall of Central Harmony (中和殿),Historic Site,39.91630354654006,116.39074709206193,4 Jingshan Front St,Beijing,Beijing,Dongcheng
36,Confucius Temple (北京孔庙),Historic Site,39.9444580195364,116.40838366853306,13 Guozijian St,Beijing,Beijing,Dongcheng
37,Gate of Heavenly Purity (乾清门),Historic Site,39.917988592418176,116.3906263074563,4 Jingshan Front St,Beijing,Beijing,Dongcheng
38,Hall of Supreme Harmony (太和殿),Historic Site,39.915466461530265,116.39086168289484,4 Jingshan Front St,Beijing,Beijing,Dongcheng
39,Wangfujing Shopping Street (Wangfujing Shopping Street 王府井步行街),Shopping Plaza,39.91216854133877,116.40499464869005,Wangfujing,Beijing,Beijing,Dongcheng
40,Drum Tower (鼓楼),Monument / Landmark,39.940723,116.396205,9 Zhonglouwan Linzi,Beijing,Beijing,Dongcheng
41,Poly Theatre (保利剧院 Poly Theatre),Concert Hall,39.93357917149298,116.43037006868528,14 Dongzhimen S. Ave.,Beijing,Beijing,Dongcheng
42,Grand Hyatt Beijing (北京东方君悦大酒店),Hotel,39.90805986614843,116.40834908694298,1 E Chang'an Ave,Beijing,Beijing,Dongcheng
43,Bell Tower (钟楼),Monument / Landmark,39.942451,116.395978,9 Zhonglouwan Linzi,Beijing,Beijing,Dongcheng
44,Raffles City (来福士中心),Shopping Mall,39.93877806059291,116.42619073390959,1 Dongzhimen S Ave,Beijing,Beijing,Dongcheng
45,Wangfujing Food Alley (王府井小吃街 Wangfujing Food Alley),Street Food Gathering,39.90983458333595,116.40452202642197,Wangfujing Ave,Beijing,Beijing,Dongcheng
46,全聚德 Quanjude Peking Duck (全聚德),Peking Duck Restaurant,39.910726235331616,116.40564468406113,9 Shuaifuyuan Hutong,Beijing,Beijing,Dongcheng
47,Oriental Plaza (东方广场),Building,39.90841557412842,116.40745384427815,1 E Chang'an Ave,Beijing,Beijing,Dongcheng
48,Nanluoguxiang Metro Station (地铁南锣鼓巷站),Metro Station,39.932313399226146,116.39769058674574,Di'anmen E Ave,Beijing,Beijing,Dongcheng
