,Name,Category,Latitude,Longitude,address,Province,City,District / County
0,ShunDe Furniture Market,Furniture / Home Store,22.93677968491133,113.08620781386493,,Guangdong,Foshan,Shunde
1,Louvre International Furniture Exhibition Center (中国罗浮宫国际家具博览中心),Furniture / Home Store,22.947236187315355,113.08486994124155,"325 National Rd, Lecong Sec | 325国道乐从路段",Guangdong,Foshan,Shunde
2,Dongguan (东莞),City,23.04473954957371,113.75263452529907,,Guangdong,Dongguan,nan
3,Dongguan Railway Station (东莞站),Train Station,23.09125277249941,113.85412530217263,东莞市茶山镇,Guangdong,Dongguan,nan
4,Zhongshan Ferry Terminal (中山港客運碼頭),Pier,22.572677599531627,113.47329853787038,沿東江一路,Guangdong,Zhongshan,nan
5,Jieyang Chaoshan International Airport (SWA) (揭阳潮汕国际机场),Airport,23.549018414469376,116.51050506794213,揭阳潮汕机场,Guangdong,Jieyang,Rongcheng
6,Guilin walking street (正阳步行街),Road,25.277195011910244,110.29358012379599,正阳路,Guangxi,Guilin,Qixing District
7,The Elephant Trunk Hill (象鼻山),Mountain,25.271560327951505,110.29146828457306,Guilin,Guangxi,Guilin,Qixing District
8,Guilin 桂林,City,25.266431357740053,110.28153419494629,,Guangxi,Guilin,Qixing District
9,Guilin Railway Station (桂林站),Train Station,25.263935863116863,110.2781844511628,39 Zhongshan S Rd | 中山南路39号,Guangxi,Guilin,Qixing District
10,Guilin North Railway Station (桂林北站),Train Station,25.331793483279295,110.29778054719442,,Guangxi,Guilin,Qixing District
11,Terminal 2 (2号航站楼),Airport Terminal,22.603767277179568,108.18219296471487,,Guangxi,Nanning,Jiangnan District
12,Nanning Wuxu International Airport (NNG) (南宁吴圩国际机场),Airport,22.6058929061178,108.17897703498602,Wusong Town | 吴圩镇,Guangxi,Nanning,Jiangnan District
13,Guiyang Longdongbao International Airport (KWE) (贵阳龙洞堡国际机场),Airport,26.544308558627424,106.79637908935547,贵阳龙洞堡机场,Guizhou,Guiyang,Nanming District
