,Province,City,District / County,Post Code
0,Anhui,Hefei,Yaohai,230000
1,Anhui,Hefei,Baohe,230000
2,Anhui,Hefei,Feidong,230000
3,Anhui,Hefei,Luyang,230000
4,Anhui,Hefei,Changfeng,231100
5,Anhui,Hefei,Shushan,230000
6,Anhui,Hefei,Feixi,231200
7,Anhui,Huangshan,Tunxi,245000
8,Anhui,Huangshan,Shexian,245200
9,Anhui,Huangshan,Qimen,245600
10,Anhui,Huangshan,Huangshan,245200
11,Anhui,Huangshan,Huizhou,245061
12,Anhui,Huangshan,Xiuning,245400
13,Anhui,Huangshan,Yixian,245500
14,Anhui,Wuhu,Jinghu,241000
15,Anhui,Wuhu,Sanshan,241000
16,Anhui,Wuhu,Nanling,242400
17,Anhui,Wuhu,Yijiang,241000
18,Anhui,Wuhu,Jiujiang,241000
19,Anhui,Wuhu,Wuhu,241100
20,Anhui,Wuhu,Fanchang,241200
21,Anhui,Bengbu,Longzihu,233000
22,Anhui,Bengbu,Huaishang,233000
23,Anhui,Bengbu,Guzhen,233700
24,Anhui,Bengbu,Bengshan,233000
25,Anhui,Bengbu,Yuhui,233000
26,Anhui,Bengbu,Huaiyuan,233400
27,Anhui,Bengbu,Wuhe,233300
28,Anhui,Huainan,Datong,232000
29,Anhui,Huainan,Bagongshan,232000
30,Anhui,Huainan,Tianjiaan,232000
31,Anhui,Huainan,Xiejiaji,232000
32,Anhui,Huainan,Panji,232000
33,Anhui,Huainan,Fengtai,232100
34,Anhui,Maanshan,Jinjiazhuang,243000
35,Anhui,Maanshan,Dangtu,243100
36,Anhui,Maanshan,Huashan,243000
37,Anhui,Maanshan,Yushan,243000
38,Anhui,Huaibei,Duji,235000
39,Anhui,Huaibei,Suixi,235100
40,Anhui,Huaibei,Xiangshan,235000
41,Anhui,Huaibei,Lieshan,235000
42,Anhui,Tongling,Tongguanshan,244000
43,Anhui,Tongling,Tongling,244100
44,Anhui,Tongling,Shizishan,244000
45,Anhui,Tongling,Jiaoqu,244000
46,Anhui,Anqing,Yingjiang,246000
47,Anhui,Anqing,Huaining,246100
48,Anhui,Anqing,Taihu,246400
49,Anhui,Anqing,Yuexi,246600
50,Anhui,Anqing,Daguan,246000
51,Anhui,Anqing,Jiaoqu,246000
52,Anhui,Anqing,Zongyang,246700
53,Anhui,Anqing,Qianshan,246300
54,Anhui,Anqing,Susong,246500
55,Anhui,Anqing,Wangjiang,246200
56,Anhui,Anqing,Tongcheng,231400
57,Anhui,Chuzhou,Langya,239000
58,Anhui,Chuzhou,Quanjiao,239500
59,Anhui,Chuzhou,Tianchang,239300
60,Anhui,Chuzhou,Nanqiao,239000
61,Anhui,Chuzhou,Laian,239200
62,Anhui,Chuzhou,Dingyuan,233200
63,Anhui,Chuzhou,Fengyang,233100
64,Anhui,Chuzhou,Mingguang,239400
65,Anhui,Fuyang,Yingzhou,236000
66,Anhui,Fuyang,Linquan,236400
67,Anhui,Fuyang,Yingshang,236200
68,Anhui,Fuyang,Yingdong,236000
69,Anhui,Fuyang,Yingquan,236000
70,Anhui,Fuyang,Taihe,236600
71,Anhui,Fuyang,Fu'nan,236300
72,Anhui,Fuyang,Jieshou,236500
73,Anhui,Suzhou,Yongqiao,234000
74,Anhui,Suzhou,Lingbi,234200
75,Anhui,Suzhou,Dangshan,235300
76,Anhui,Suzhou,Xiaoxian,235200
77,Anhui,Suzhou,Sixian,234300
78,Anhui,Chaohu,Juchao,238000
79,Anhui,Chaohu,Hanshan,238100
80,Anhui,Chaohu,Lujiang,231500
81,Anhui,Chaohu,Wuwei,238300
82,Anhui,Chaohu,Hexian,238200
83,Anhui,Liuan,Jin'an,237000
84,Anhui,Liuan,Huoqiu,237400
85,Anhui,Liuan,Huoshan,237200
86,Anhui,Liuan,Yu'an,237000
87,Anhui,Liuan,Shouxian,232200
88,Anhui,Liuan,Shucheng,231300
89,Anhui,Liuan,Jinzhai,237300
90,Anhui,Bozhou,Qiaocheng,236800
91,Anhui,Bozhou,Lixin,236700
92,Anhui,Bozhou,Woyang,233600
93,Anhui,Bozhou,Mengcheng,233500
94,Anhui,Chizhou,Guichi,247100
95,Anhui,Chizhou,Qingyang,242800
96,Anhui,Chizhou,Dongzhi,247200
97,Anhui,Chizhou,Shitai,245100
98,Anhui,Xuancheng,Xuanzhou,242000
99,Anhui,Xuancheng,Jingxian,242500
100,Anhui,Xuancheng,Ningguo,242300
101,Anhui,Xuancheng,Langxi,242100
102,Anhui,Xuancheng,Guangde,242200
103,Anhui,Xuancheng,Jixi,245300
104,Anhui,Xuancheng,Jingde,242600
105,Beijing,Beijing,Dongcheng,100000
106,Beijing,Beijing,Xicheng,100000
107,Beijing,Beijing,Chaoyang,100000
108,Beijing,Beijing,Fengtai,100000
109,Beijing,Beijing,Shijingshan,100000
110,Beijing,Beijing,Haidian,100000
111,Beijing,Beijing,Mentougou,102300
112,Beijing,Beijing,Fangshan,102400
113,Beijing,Beijing,Tongzhou,101100
114,Beijing,Beijing,Shunyi,101300
115,Beijing,Beijing,Changping,102200
116,Beijing,Beijing,Daxing,102600
117,Beijing,Beijing,Huairou,101400
118,Beijing,Beijing,Pinggu,101200
119,Beijing,Beijing,Miyun,101500
120,Beijing,Beijing,Yanqing,102100
121,Chongqing,Chongqing,Wanzhou,404100
122,Chongqing,Chongqing,Fuling ,408000
123,Chongqing,Chongqing,Yuzhong,400000
124,Chongqing,Chongqing,Dadukou,400000
125,Chongqing,Chongqing,Jiangbei,400000
126,Chongqing,Chongqing,Shapingba,400000
127,Chongqing,Chongqing,Jiulongpo,400000
128,Chongqing,Chongqing,Nan'an,400000
129,Chongqing,Chongqing,Beibei,400700
130,Chongqing,Chongqing,Wansheng,400800
131,Chongqing,Chongqing,Shuangqiao,400900
132,Chongqing,Chongqing,Yubei,401120
133,Chongqing,Chongqing,Ba'nan,401320
134,Chongqing,Chongqing,Qianjiang,409000
135,Chongqing,Chongqing,Changshou,401220
136,Chongqing,Chongqing,Jiangjin,402260
137,Chongqing,Chongqing,Hechuan,401520
138,Chongqing,Chongqing,Yongchuan,402160
139,Chongqing,Chongqing,Nanchuan,408400
140,Chongqing,Chongqing,County,Zip Code
141,Chongqing,Chongqing,Qijiang,401420
142,Chongqing,Chongqing,Tongnan,402660
143,Chongqing,Chongqing,Tongliang,402560
144,Chongqing,Chongqing,Dazu,402360
145,Chongqing,Chongqing,Rongchang,402460
146,Chongqing,Chongqing,Bishan,402760
147,Chongqing,Chongqing,Liangping,405200
148,Chongqing,Chongqing,Chengkou,405900
149,Chongqing,Chongqing,Fengdu,408200
150,Chongqing,Chongqing,Dianjiang,408300
151,Chongqing,Chongqing,Wulong,408500
152,Chongqing,Chongqing,Zhongxian,404300
153,Chongqing,Chongqing,Kaixian,405400
154,Chongqing,Chongqing,Yunyang,404500
155,Chongqing,Chongqing,Fengjie,404600
156,Chongqing,Chongqing,Wushan,404700
157,Chongqing,Chongqing,Wuxi,405800
158,Chongqing,Chongqing,Shizhu,409100
159,Chongqing,Chongqing,Xiushan,409900
160,Chongqing,Chongqing,Youyang,409800
161,Chongqing,Chongqing,Pengshui,409600
162,Fujian,Fuzhou,Gulou District,350000
163,Fujian,Fuzhou,Mawei District,350000
164,Fujian,Fuzhou,Lianjiang County,350500
165,Fujian,Fuzhou,Yongtai,350700
166,Fujian,Fuzhou,Changle,350200
167,Fujian,Fuzhou,Taijiang District,350000
168,Fujian,Fuzhou,Cangshan,350000
169,Fujian,Fuzhou,Jin'an,350000
170,Fujian,Fuzhou,Minhou County,350100
171,Fujian,Fuzhou,Luoyuan,350600
172,Fujian,Fuzhou,Minqing,350800
173,Fujian,Fuzhou,Pingtan,350400
174,Fujian,Fuzhou,Fuqing,350300
175,Fujian,Xiamen,Siming,361000
176,Fujian,Xiamen,Jimei,361000
177,Fujian,Xiamen,Haicang District,361000
178,Fujian,Xiamen,Huli District,361000
179,Fujian,Xiamen,Tongan,361100
180,Fujian,Xiamen,Xiang'an,361100
181,Fujian,Quanzhou,Licheng District,362000
182,Fujian,Quanzhou,Quangang District,362100
183,Fujian,Quanzhou,Yongchun County,362600
184,Fujian,Quanzhou,Shishi,362700
185,Fujian,Quanzhou,Fengze District,362000
186,Fujian,Quanzhou,Luojiang District,362000
187,Fujian,Quanzhou,Huian County,362100
