,Province,City,District / County,Post Code,Address,Latitude,Longitude
0,Anhui,Hefei,Yaohai,230000,"Yaohai,Hefei,Anhui,China",31.8601612,117.3037396
1,Anhui,Hefei,Baohe,230000,"Baohe,Hefei,Anhui,China",31.7955295,117.3052493
2,Anhui,Hefei,Feidong,230000,"Feidong,Hefei,Anhui,China",31.8900729,117.4636063
3,Anhui,Hefei,Luyang,230000,"Luyang,Hefei,Anhui,China",31.8805508,117.2592373
4,Anhui,Hefei,Changfeng,231100,"Changfeng,Hefei,Anhui,China",32.482035,117.160669
5,Anhui,Hefei,Shushan,230000,"Shushan,Hefei,Anhui,China",31.8528732,117.2552439
6,Anhui,Hefei,Feixi,231200,"Feixi,Hefei,Anhui,China",31.7090349,117.152533
7,Anhui,Huangshan,Tunxi,245000,"Tunxi,Huangshan,Anhui,China",29.6986901,118.3098695
8,Anhui,Huangshan,Shexian,245200,"Shexian,Huangshan,Anhui,China",29.8635777,118.4101129
9,Anhui,Huangshan,Qimen,245600,"Qimen,Huangshan,Anhui,China",29.849184,117.724576
10,Anhui,Huangshan,Huangshan,245200,"Huangshan,Anhui,China",30.1343921,118.1612689
11,Anhui,Huangshan,Huizhou,245061,"Huizhou,Huangshan,Anhui,China",29.8310861,118.3358441
12,Anhui,Huangshan,Xiuning,245400,"Xiuning,Huangshan,Anhui,China",29.7909035,118.1805822
13,Anhui,Huangshan,Yixian,245500,"Yixian,Huangshan,Anhui,China",29.9265985,117.9345987
14,Anhui,Wuhu,Jinghu,241000,"Jinghu,Wuhu,Anhui,China",31.3422958,118.3797326
15,Anhui,Wuhu,Sanshan,241000,"Sanshan,Wuhu,Anhui,China",31.2218919,118.262715
16,Anhui,Wuhu,Nanling,242400,"Nanling,Wuhu,Anhui,China",30.9150329,118.3288821
17,Anhui,Wuhu,Yijiang,241000,"Yijiang,Wuhu,Anhui,China",31.3155852,118.3674047
18,Anhui,Wuhu,Jiujiang,241000,"Jiujiang,Wuhu,Anhui,China",31.3718147,118.3860456
19,Anhui,Wuhu,Wuhu,241100,"Wuhu,Anhui,China",31.3536127,118.4277477
20,Anhui,Wuhu,Fanchang,241200,"Fanchang,Wuhu,Anhui,China",31.0855894,118.2000683
21,Anhui,Bengbu,Longzihu,233000,"Longzihu,Bengbu,Anhui,China",32.9448624,117.3881282
22,Anhui,Bengbu,Huaishang,233000,"Huaishang,Bengbu,Anhui,China",32.9672034,117.353831
23,Anhui,Bengbu,Guzhen,233700,"Guzhen,Bengbu,Anhui,China",33.3205095,117.3091682
24,Anhui,Bengbu,Bengshan,233000,"Bengshan,Bengbu,Anhui,China",32.945992,117.3621199
25,Anhui,Bengbu,Yuhui,233000,"Yuhui,Bengbu,Anhui,China",32.9318356,117.336544
26,Anhui,Bengbu,Huaiyuan,233400,"Huaiyuan,Bengbu,Anhui,China",32.9726141,117.1994873
27,Anhui,Bengbu,Wuhe,233300,"Wuhe,Bengbu,Anhui,China",33.1290757,117.8759223
28,Anhui,Huainan,Datong,232000,"Datong,Huainan,Anhui,China",32.6335872,117.0471673
29,Anhui,Huainan,Bagongshan,232000,"Bagongshan,Huainan,Anhui,China",32.6334388,116.8283129
30,Anhui,Huainan,Tianjiaan,232000,"Tianjiaan,Huainan,Anhui,China",32.53677865,117.014310799124
31,Anhui,Huainan,Xiejiaji,232000,"Xiejiaji,Huainan,Anhui,China",32.6017288,116.8543839
32,Anhui,Huainan,Panji,232000,"Panji,Huainan,Anhui,China",32.7822968,116.8187599
33,Anhui,Huainan,Fengtai,232100,"Fengtai,Huainan,Anhui,China",32.7079336,116.7254214
34,Anhui,Maanshan,Jinjiazhuang,243000,"Jinjiazhuang,Maanshan,Anhui,China",31.724492,118.4845698
35,Anhui,Maanshan,Dangtu,243100,"Dangtu,Maanshan,Anhui,China",31.5722883,118.4928233
36,Anhui,Maanshan,Huashan,243000,"Huashan,Maanshan,Anhui,China",31.7020193,118.5058733
37,Anhui,Maanshan,Yushan,243000,"Yushan,Maanshan,Anhui,China",31.6842096,118.4933555
38,Anhui,Huaibei,Duji,235000,"Duji,Huaibei,Anhui,China",34.0209737,116.888504392029
39,Anhui,Huaibei,Suixi,235100,"Suixi,Huaibei,Anhui,China",33.9166455,116.7640522
40,Anhui,Huaibei,Xiangshan,235000,"Xiangshan,Huaibei,Anhui,China",33.9629056,116.7894889
41,Anhui,Huaibei,Lieshan,235000,"Lieshan,Huaibei,Anhui,China",33.8967068,116.807632
42,Anhui,Tongling,Tongguanshan,244000,"Tongguanshan,Tongling,Anhui,China",30.9016461,117.8178959
43,Anhui,Tongling,Tongling,244100,"Tongling,Anhui,China",30.9345628,117.8089039
44,Anhui,Tongling,Shizishan,244000,"Shizishan,Tongling,Anhui,China",,
45,Anhui,Tongling,Jiaoqu,244000,"Jiaoqu,Tongling,Anhui,China",30.9125316,117.8035201
46,Anhui,Anqing,Yingjiang,246000,"Yingjiang,Anqing,Anhui,China",30.5077171,117.0571678
47,Anhui,Anqing,Huaining,246100,"Huaining,Anqing,Anhui,China",30.7327026,116.8273132
48,Anhui,Anqing,Taihu,246400,"Taihu,Anqing,Anhui,China",30.4528163,116.3052676
49,Anhui,Anqing,Yuexi,246600,"Yuexi,Anqing,Anhui,China",30.8518572,116.3546524
50,Anhui,Anqing,Daguan,246000,"Daguan,Anqing,Anhui,China",30.5090441,117.0206336
51,Anhui,Anqing,Jiaoqu,246000,"Jiaoqu,Anqing,Anhui,China",,
52,Anhui,Anqing,Zongyang,246700,"Zongyang,Anqing,Anhui,China",,
53,Anhui,Anqing,Qianshan,246300,"Qianshan,Anqing,Anhui,China",30.6358238,116.5663792
54,Anhui,Anqing,Susong,246500,"Susong,Anqing,Anhui,China",30.1559129,116.1237461
55,Anhui,Anqing,Wangjiang,246200,"Wangjiang,Anqing,Anhui,China",30.1309811,116.7013688
56,Anhui,Anqing,Tongcheng,231400,"Tongcheng,Anqing,Anhui,China",31.0530582,116.953449
57,Anhui,Chuzhou,Langya,239000,"Langya,Chuzhou,Anhui,China",32.2966185,118.3007179
58,Anhui,Chuzhou,Quanjiao,239500,"Quanjiao,Chuzhou,Anhui,China",32.0881937,118.2687495
59,Anhui,Chuzhou,Tianchang,239300,"Tianchang,Chuzhou,Anhui,China",32.669149,118.9994478
60,Anhui,Chuzhou,Nanqiao,239000,"Nanqiao,Chuzhou,Anhui,China",32.2033576,118.4236903
61,Anhui,Chuzhou,Laian,239200,"Laian,Chuzhou,Anhui,China",32.4480863,118.4291781
62,Anhui,Chuzhou,Dingyuan,233200,"Dingyuan,Chuzhou,Anhui,China",32.5262294,117.6758293
63,Anhui,Chuzhou,Fengyang,233100,"Fengyang,Chuzhou,Anhui,China",32.777697,117.6071
64,Anhui,Chuzhou,Mingguang,239400,"Mingguang,Chuzhou,Anhui,China",32.7840083,118.0127491
65,Anhui,Fuyang,Yingzhou,236000,"Yingzhou,Fuyang,Anhui,China",32.885622,115.8014893
66,Anhui,Fuyang,Linquan,236400,"Linquan,Fuyang,Anhui,China",33.0654989,115.2578294
67,Anhui,Fuyang,Yingshang,236200,"Yingshang,Fuyang,Anhui,China",32.6552341,116.251507
68,Anhui,Fuyang,Yingdong,236000,"Yingdong,Fuyang,Anhui,China",32.9142539,115.8514591
