,Name,Category,Latitude,Longitude,address,Province,City,District / County
0,McDonald's (麦当劳),Fast Food Restaurant,39.718077,115.955628,,Beijing,Beijing,Fangshan
1,南门涮肉 Nan Men Hotpot,Chinese Restaurant,39.93664412,116.38760020000001,1 Nanguanfang Alley,Beijing,Beijing,Fengtai
2,味多美,Bakery,39.861064,116.28270800000001,,Beijing,Beijing,Fengtai
3,Lei Cafe 花漾咖啡,Café,40.05909412,116.6083467,Beijing Capital Int'l Airport 北京首都国际机场,Beijing,Beijing,Shunyi
4,北平咖啡 Peking Cafe,Café,39.93435871,116.39692279999998,"113-2, Nanluogu Alley, Dongcheng District",Beijing,Beijing,Fengtai
5,McDonald's (麦当劳),Fast Food Restaurant,39.92880984,116.247679,田村路 43 号,Beijing,Beijing,Fengtai
6,The Schoolhouse at Mutianyu,American Restaurant,40.42419214,116.5530578,怀柔慕田峪村12号,Beijing,Beijing,Huairou
7,Berry Beans,Café,39.89305925,116.3861236,朱家胡同7号,Beijing,Beijing,Fengtai
8,局气西单店,Beijing Restaurant,39.91086259,116.3737996,太仆寺街21号府右街宾馆1层(近8号苑西单二分店),Beijing,Beijing,Xicheng
9,La Pizza Shangdu SOHO,Pizza Place,39.91718749,116.4458959,Shangdu SOHO,Beijing,Beijing,Xicheng
10,汉拿山烤肉,Korean Restaurant,39.74157325,116.29396609999999,大兴区黄村西大街火神庙商业区,Beijing,Beijing,Daxing
11,The 798 韩国料理地区,Korean Restaurant,39.99184325,116.3303447,35 Chengfu Rd.,Beijing,Beijing,Shijingshan
12,海碗居老北京炸酱面,Noodle House,39.92678876,116.3246925,10 Zengguang Rd,Beijing,Beijing,Xicheng
13,Duck de Chine 全鸭季,Chinese Restaurant,39.91315234,116.41479270000002,98 Jinbao Street,Beijing,Beijing,Dongcheng
14,KFC (肯德基),Fast Food Restaurant,39.9048791,116.3151277,北京市羊坊店路,Beijing,Beijing,Fengtai
15,张记烤羊腿,BBQ Joint,39.94119878,116.4028261,交到口北二条39号,Beijing,Beijing,Dongcheng
16,1901 Cafe,Café,39.92144347,116.3718883,西安门大街,Beijing,Beijing,Shijingshan
17,八先生涮肉坊三里河店,Hotpot Restaurant,39.90692705,116.3354053,,Beijing,Beijing,Shijingshan
18,福华肥牛,Chinese Restaurant,39.72506402,116.3357685,大兴区黄村镇,Beijing,Beijing,Daxing
19,1901 Cafe,Café,39.92144347,116.3718883,西安门大街,Beijing,Beijing,Fengtai
20,McDonald's (麦当劳),Fast Food Restaurant,39.97547115,116.3114375,,Beijing,Beijing,Haidian
21,Bai Jia Da Yuan (Bai Family Mansion) (白家大院),Chinese Restaurant,39.97839559,116.29833670000001,15 Suzhou St,Beijing,Beijing,Shijingshan
22,Piazza Cafe,Chinese Restaurant,40.06572005,116.5309611,,Beijing,Beijing,Shunyi
23,新疆饭庄 Xinjiang Restaurant,Xinjiang Restaurant,39.93344449,116.34199890000001,车公庄大街,Beijing,Beijing,Fengtai
24,海底捞火锅 Haidilao Hot Pot,Hotpot Restaurant,39.84699232,116.3647608,11 Majiapu W Rd,Beijing,Beijing,Daxing
25,85°C Bakery Café (85度C),Bakery,39.97538965,116.33709679999998,Zhichun Rd,Beijing,Beijing,Haidian
